100	0.2	Ebola	0.5	0.2
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249780>	False	True	None
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249518>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249f98>	False	True	None
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249f28>	False	True	None
<person.Person object at 0x102284cc0>	<person.Person object at 0x1032493c8>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249470>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249320>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x1022a50f0>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249438>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x1032516d8>	Did infect	False	None
<person.Person object at 0x102284cc0>	<person.Person object at 0x1022a5ef0>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249470>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249b70>	False	True	None
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249390>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249390>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249320>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x1032494e0>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x1032494e0>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249780>	False	True	None
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249320>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249780>	False	True	None
<person.Person object at 0x102284cc0>	<person.Person object at 0x102284d30>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249358>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x1030d7860>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249a90>	False	True	None
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249358>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249f98>	False	True	None
<person.Person object at 0x102284cc0>	<person.Person object at 0x1032494e0>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249828>	False	True	None
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249e80>	False	True	None
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249400>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249400>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x1032492e8>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249438>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249828>	False	True	None
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249dd8>	Did infect	False	None
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249828>	False	True	None
<person.Person object at 0x102284cc0>	<person.Person object at 0x103249358>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x1032510f0>	Did infect	False	None
<person.Person object at 0x102284cc0>	<person.Person object at 0x1022a50f0>	False	False	Ebola
<person.Person object at 0x102284cc0>	<person.Person object at 0x1032493c8>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x102284d30>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x1032492e8>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x1032492e8>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x1032492b0>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x103249f98>	False	True	None
<person.Person object at 0x102284d30>	<person.Person object at 0x103249390>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x103249320>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x103251470>	False	True	None
<person.Person object at 0x102284d30>	<person.Person object at 0x103249390>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x1022a50f0>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x103249358>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x103249828>	False	True	None
<person.Person object at 0x102284d30>	<person.Person object at 0x1032499b0>	False	True	None
<person.Person object at 0x102284d30>	<person.Person object at 0x103249518>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x103249898>	Did infect	False	None
<person.Person object at 0x102284d30>	<person.Person object at 0x103249438>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x103249710>	False	True	None
<person.Person object at 0x102284d30>	<person.Person object at 0x103249860>	False	True	None
<person.Person object at 0x102284d30>	<person.Person object at 0x1032492b0>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x1032493c8>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x103249a90>	False	True	None
<person.Person object at 0x102284d30>	<person.Person object at 0x103249898>	Did infect	False	None
<person.Person object at 0x102284d30>	<person.Person object at 0x103249470>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x103249358>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x103249550>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x103249240>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x103249b38>	False	True	None
<person.Person object at 0x102284d30>	<person.Person object at 0x103249710>	False	True	None
<person.Person object at 0x102284d30>	<person.Person object at 0x103249438>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x103249b38>	False	True	None
<person.Person object at 0x102284d30>	<person.Person object at 0x1022a5f60>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x103249a90>	False	True	None
<person.Person object at 0x102284d30>	<person.Person object at 0x1030d7860>	False	False	Ebola
<person.Person object at 0x102284d30>	<person.Person object at 0x103249e80>	False	True	None
<person.Person object at 0x102284d30>	<person.Person object at 0x103249780>	False	True	None
<person.Person object at 0x102284d30>	<person.Person object at 0x103251400>	Did infect	False	None
<person.Person object at 0x102284d30>	<person.Person object at 0x103249a90>	False	True	None
<person.Person object at 0x1022a50f0>	<person.Person object at 0x103249f98>	False	True	None
<person.Person object at 0x1022a50f0>	<person.Person object at 0x1022a5f60>	False	False	Ebola
<person.Person object at 0x1022a50f0>	<person.Person object at 0x103249470>	False	False	Ebola
<person.Person object at 0x1022a50f0>	<person.Person object at 0x103249898>	Did infect	False	None
<person.Person object at 0x1022a50f0>	<person.Person object at 0x103249898>	Did infect	False	None
<person.Person object at 0x1022a50f0>	<person.Person object at 0x103249f98>	False	True	None
<person.Person object at 0x1022a50f0>	<person.Person object at 0x103249470>	False	False	Ebola
